,taxa,Sample_ID,count,Level,Age,Strain,Genotype
53,Nocardioidaceae unclassified,X8_AKM_8768_1,0,Species,8 Weeks,AJ,KO
54,Nocardioidaceae unclassified,X8_AKM_8768_2,0,Species,8 Weeks,AJ,KO
55,Nocardioidaceae unclassified,X8_AKM_8769_1,0,Species,8 Weeks,AJ,KO
56,Nocardioidaceae unclassified,X8_AKM_8769_2,1,Species,8 Weeks,AJ,KO
57,Nocardioidaceae unclassified,X8_AKM_8771_1,0,Species,8 Weeks,AJ,KO
58,Nocardioidaceae unclassified,X8_AKM_8771_2,0,Species,8 Weeks,AJ,KO
59,Nocardioidaceae unclassified,X8_AWF_8736_1,0,Species,8 Weeks,AJ,WT
60,Nocardioidaceae unclassified,X8_AWF_8736_2,0,Species,8 Weeks,AJ,WT
61,Nocardioidaceae unclassified,X8_AWF_8797_1,0,Species,8 Weeks,AJ,WT
62,Nocardioidaceae unclassified,X8_AWF_9005_1,0,Species,8 Weeks,AJ,WT
63,Nocardioidaceae unclassified,X8_AWF_9005_2,0,Species,8 Weeks,AJ,WT
64,Nocardioidaceae unclassified,X8_AWM_8728_1,0,Species,8 Weeks,AJ,WT
65,Nocardioidaceae unclassified,X8_AWM_8728_2,0,Species,8 Weeks,AJ,WT
66,Nocardioidaceae unclassified,X8_AWM_8730_1,0,Species,8 Weeks,AJ,WT
67,Nocardioidaceae unclassified,X8_AWM_8730_2,0,Species,8 Weeks,AJ,WT
68,Nocardioidaceae unclassified,X8_AWM_8766_1,0,Species,8 Weeks,AJ,WT
69,Nocardioidaceae unclassified,X8_AWM_8766_2,0,Species,8 Weeks,AJ,WT
70,Nocardioidaceae unclassified,X8_BKF_8726_1,0,Species,8 Weeks,B6,KO
71,Nocardioidaceae unclassified,X8_BKF_8726_2,0,Species,8 Weeks,B6,KO
72,Nocardioidaceae unclassified,X8_BKF_8926_1,0,Species,8 Weeks,B6,KO
73,Nocardioidaceae unclassified,X8_BKF_8926_2,0,Species,8 Weeks,B6,KO
74,Nocardioidaceae unclassified,X8_BKF_8927_1,0,Species,8 Weeks,B6,KO
75,Nocardioidaceae unclassified,X8_BKM_8719_1,0,Species,8 Weeks,B6,KO
76,Nocardioidaceae unclassified,X8_BKM_8719_2,0,Species,8 Weeks,B6,KO
77,Nocardioidaceae unclassified,X8_BKM_8859_1,0,Species,8 Weeks,B6,KO
78,Nocardioidaceae unclassified,X8_BKM_8859_2,0,Species,8 Weeks,B6,KO
79,Nocardioidaceae unclassified,X8_BKM_8860_1,0,Species,8 Weeks,B6,KO
80,Nocardioidaceae unclassified,X8_BKM_8860_2,0,Species,8 Weeks,B6,KO
81,Nocardioidaceae unclassified,X8_BWF_8754_1,0,Species,8 Weeks,B6,WT
82,Nocardioidaceae unclassified,X8_BWF_8754_2,0,Species,8 Weeks,B6,WT
83,Nocardioidaceae unclassified,X8_BWF_8755_1,0,Species,8 Weeks,B6,WT
84,Nocardioidaceae unclassified,X8_BWF_8852_1,0,Species,8 Weeks,B6,WT
85,Nocardioidaceae unclassified,X8_BWF_8852_2,0,Species,8 Weeks,B6,WT
86,Nocardioidaceae unclassified,X8_BWM_8745_1,0,Species,8 Weeks,B6,WT
87,Nocardioidaceae unclassified,X8_BWM_8745_2,0,Species,8 Weeks,B6,WT
88,Nocardioidaceae unclassified,X8_BWM_8747_1,0,Species,8 Weeks,B6,WT
89,Nocardioidaceae unclassified,X8_BWM_8747_2,0,Species,8 Weeks,B6,WT
90,Nocardioidaceae unclassified,X8_BWM_8847_1,0,Species,8 Weeks,B6,WT
91,Nocardioidaceae unclassified,X8_BWM_8847_2,0,Species,8 Weeks,B6,WT
92,Alistipes sp. Marseille-P5997,X20_AKF_8733_2,0.009615385,Species,20 Weeks,AJ,KO
93,Alistipes sp. Marseille-P5997,X20_AKF_8738_1,0.009615385,Species,20 Weeks,AJ,KO
94,Alistipes sp. Marseille-P5997,X20_AKF_8738_2,0.003205128,Species,20 Weeks,AJ,KO
95,Alistipes sp. Marseille-P5997,X20_AKF_8802_1,0.019230769,Species,20 Weeks,AJ,KO
96,Alistipes sp. Marseille-P5997,X20_AKF_8802_2,0.009615385,Species,20 Weeks,AJ,KO
97,Alistipes sp. Marseille-P5997,X20_AKM_8768_1,0.009615385,Species,20 Weeks,AJ,KO
98,Alistipes sp. Marseille-P5997,X20_AKM_8768_2,0.028846154,Species,20 Weeks,AJ,KO
99,Alistipes sp. Marseille-P5997,X20_AKM_8769_1,0.003205128,Species,20 Weeks,AJ,KO
100,Alistipes sp. Marseille-P5997,X20_AKM_8769_2,0.009615385,Species,20 Weeks,AJ,KO
101,Alistipes sp. Marseille-P5997,X20_AKM_8771_1,0,Species,20 Weeks,AJ,KO
102,Alistipes sp. Marseille-P5997,X20_AKM_8771_2,0.003205128,Species,20 Weeks,AJ,KO
103,Alistipes sp. Marseille-P5997,X20_AWF_8736_1,0.006410256,Species,20 Weeks,AJ,WT
104,Alistipes sp. Marseille-P5997,X20_AWF_8736_2,0.03525641,Species,20 Weeks,AJ,WT
105,Alistipes sp. Marseille-P5997,X20_AWF_8797_1,0.006410256,Species,20 Weeks,AJ,WT
106,Alistipes sp. Marseille-P5997,X20_AWF_8797_2,0.041666667,Species,20 Weeks,AJ,WT
107,Alistipes sp. Marseille-P5997,X20_AWF_9005_1,0.028846154,Species,20 Weeks,AJ,WT
108,Alistipes sp. Marseille-P5997,X20_AWF_9005_2,0.009615385,Species,20 Weeks,AJ,WT
109,Alistipes sp. Marseille-P5997,X20_AWM_8728_1,0.009615385,Species,20 Weeks,AJ,WT
110,Alistipes sp. Marseille-P5997,X20_AWM_8728_2,0.019230769,Species,20 Weeks,AJ,WT
111,Alistipes sp. Marseille-P5997,X20_AWM_8730_1,0.012820513,Species,20 Weeks,AJ,WT
112,Alistipes sp. Marseille-P5997,X20_AWM_8730_2,0.009615385,Species,20 Weeks,AJ,WT
113,Alistipes sp. Marseille-P5997,X20_AWM_8766_1,0.022435897,Species,20 Weeks,AJ,WT
114,Alistipes sp. Marseille-P5997,X20_AWM_8766_2,0.019230769,Species,20 Weeks,AJ,WT
115,Alistipes sp. Marseille-P5997,X20_BKF_8726_1,0.003205128,Species,20 Weeks,B6,KO
116,Alistipes sp. Marseille-P5997,X20_BKF_8726_2,0.003205128,Species,20 Weeks,B6,KO
117,Alistipes sp. Marseille-P5997,X20_BKF_8926_1,0.009615385,Species,20 Weeks,B6,KO
118,Alistipes sp. Marseille-P5997,X20_BKF_8926_2,0.003205128,Species,20 Weeks,B6,KO
119,Alistipes sp. Marseille-P5997,X20_BKF_8927_1,0.009615385,Species,20 Weeks,B6,KO
120,Alistipes sp. Marseille-P5997,X20_BKF_8927_2,0.006410256,Species,20 Weeks,B6,KO
121,Alistipes sp. Marseille-P5997,X20_BKM_8719_1,0.009615385,Species,20 Weeks,B6,KO
122,Alistipes sp. Marseille-P5997,X20_BKM_8719_2,0.006410256,Species,20 Weeks,B6,KO
123,Alistipes sp. Marseille-P5997,X20_BKM_8859_1,0.003205128,Species,20 Weeks,B6,KO
124,Alistipes sp. Marseille-P5997,X20_BKM_8859_2,0.009615385,Species,20 Weeks,B6,KO
125,Alistipes sp. Marseille-P5997,X20_BKM_8860_1,0.009615385,Species,20 Weeks,B6,KO
126,Alistipes sp. Marseille-P5997,X20_BKM_8860_2,0,Species,20 Weeks,B6,KO
127,Alistipes sp. Marseille-P5997,X20_BWF_8754_1,0.003205128,Species,20 Weeks,B6,WT
128,Alistipes sp. Marseille-P5997,X20_BWF_8754_2,0.012820513,Species,20 Weeks,B6,WT
129,Alistipes sp. Marseille-P5997,X20_BWF_8755_1,0.006410256,Species,20 Weeks,B6,WT
130,Alistipes sp. Marseille-P5997,X20_BWF_8755_2,0.025641026,Species,20 Weeks,B6,WT
131,Alistipes sp. Marseille-P5997,X20_BWF_8852_1,0.003205128,Species,20 Weeks,B6,WT
132,Alistipes sp. Marseille-P5997,X20_BWF_8852_2,0.009615385,Species,20 Weeks,B6,WT
133,Alistipes sp. Marseille-P5997,X20_BWM_8745_1,0,Species,20 Weeks,B6,WT
134,Alistipes sp. Marseille-P5997,X20_BWM_8745_2,0.003205128,Species,20 Weeks,B6,WT
135,Alistipes sp. Marseille-P5997,X20_BWM_8747_1,0.003205128,Species,20 Weeks,B6,WT
136,Alistipes sp. Marseille-P5997,X20_BWM_8747_2,0.003205128,Species,20 Weeks,B6,WT
137,Alistipes sp. Marseille-P5997,X20_BWM_8847_1,0.012820513,Species,20 Weeks,B6,WT
138,Alistipes sp. Marseille-P5997,X20_BWM_8847_2,0.009615385,Species,20 Weeks,B6,WT
139,Alistipes sp. Marseille-P5997,X8_AKF_8733_1,0.025641026,Species,8 Weeks,AJ,KO
140,Alistipes sp. Marseille-P5997,X8_AKF_8733_2,0.025641026,Species,8 Weeks,AJ,KO
141,Alistipes sp. Marseille-P5997,X8_AKF_8738_1,0,Species,8 Weeks,AJ,KO
142,Alistipes sp. Marseille-P5997,X8_AKF_8738_2,0.003205128,Species,8 Weeks,AJ,KO
143,Alistipes sp. Marseille-P5997,X8_AKF_8802_1,0.016025641,Species,8 Weeks,AJ,KO
144,Alistipes sp. Marseille-P5997,X8_AKM_8768_1,0.016025641,Species,8 Weeks,AJ,KO
145,Alistipes sp. Marseille-P5997,X8_AKM_8768_2,0.003205128,Species,8 Weeks,AJ,KO
146,Alistipes sp. Marseille-P5997,X8_AKM_8769_1,0.009615385,Species,8 Weeks,AJ,KO
147,Alistipes sp. Marseille-P5997,X8_AKM_8769_2,0.009615385,Species,8 Weeks,AJ,KO
148,Alistipes sp. Marseille-P5997,X8_AKM_8771_1,0.022435897,Species,8 Weeks,AJ,KO
149,Alistipes sp. Marseille-P5997,X8_AKM_8771_2,0.006410256,Species,8 Weeks,AJ,KO
150,Alistipes sp. Marseille-P5997,X8_AWF_8736_1,0.032051282,Species,8 Weeks,AJ,WT
151,Alistipes sp. Marseille-P5997,X8_AWF_8736_2,0.012820513,Species,8 Weeks,AJ,WT
152,Alistipes sp. Marseille-P5997,X8_AWF_8797_1,0.032051282,Species,8 Weeks,AJ,WT
153,Alistipes sp. Marseille-P5997,X8_AWF_9005_1,0.025641026,Species,8 Weeks,AJ,WT
154,Alistipes sp. Marseille-P5997,X8_AWF_9005_2,0.025641026,Species,8 Weeks,AJ,WT
155,Alistipes sp. Marseille-P5997,X8_AWM_8728_1,0.003205128,Species,8 Weeks,AJ,WT
156,Alistipes sp. Marseille-P5997,X8_AWM_8728_2,0.012820513,Species,8 Weeks,AJ,WT
157,Alistipes sp. Marseille-P5997,X8_AWM_8730_1,0.009615385,Species,8 Weeks,AJ,WT
158,Alistipes sp. Marseille-P5997,X8_AWM_8730_2,0.009615385,Species,8 Weeks,AJ,WT
159,Alistipes sp. Marseille-P5997,X8_AWM_8766_1,0.019230769,Species,8 Weeks,AJ,WT
160,Alistipes sp. Marseille-P5997,X8_AWM_8766_2,0.019230769,Species,8 Weeks,AJ,WT
161,Alistipes sp. Marseille-P5997,X8_BKF_8726_1,0.006410256,Species,8 Weeks,B6,KO
162,Alistipes sp. Marseille-P5997,X8_BKF_8726_2,0.003205128,Species,8 Weeks,B6,KO
163,Alistipes sp. Marseille-P5997,X8_BKF_8926_1,0,Species,8 Weeks,B6,KO
164,Alistipes sp. Marseille-P5997,X8_BKF_8926_2,0.003205128,Species,8 Weeks,B6,KO
165,Alistipes sp. Marseille-P5997,X8_BKF_8927_1,0.006410256,Species,8 Weeks,B6,KO
166,Alistipes sp. Marseille-P5997,X8_BKM_8719_1,0.009615385,Species,8 Weeks,B6,KO
167,Alistipes sp. Marseille-P5997,X8_BKM_8719_2,0.003205128,Species,8 Weeks,B6,KO
168,Alistipes sp. Marseille-P5997,X8_BKM_8859_1,0.003205128,Species,8 Weeks,B6,KO
169,Alistipes sp. Marseille-P5997,X8_BKM_8859_2,0.003205128,Species,8 Weeks,B6,KO
170,Alistipes sp. Marseille-P5997,X8_BKM_8860_1,0.006410256,Species,8 Weeks,B6,KO
171,Alistipes sp. Marseille-P5997,X8_BKM_8860_2,0.016025641,Species,8 Weeks,B6,KO
172,Alistipes sp. Marseille-P5997,X8_BWF_8754_1,0.016025641,Species,8 Weeks,B6,WT
173,Alistipes sp. Marseille-P5997,X8_BWF_8754_2,0.019230769,Species,8 Weeks,B6,WT
174,Alistipes sp. Marseille-P5997,X8_BWF_8755_1,0.003205128,Species,8 Weeks,B6,WT
175,Alistipes sp. Marseille-P5997,X8_BWF_8852_1,0,Species,8 Weeks,B6,WT
176,Alistipes sp. Marseille-P5997,X8_BWF_8852_2,0.003205128,Species,8 Weeks,B6,WT
177,Alistipes sp. Marseille-P5997,X8_BWM_8745_1,0.012820513,Species,8 Weeks,B6,WT
178,Alistipes sp. Marseille-P5997,X8_BWM_8745_2,0.016025641,Species,8 Weeks,B6,WT
179,Alistipes sp. Marseille-P5997,X8_BWM_8747_1,0.003205128,Species,8 Weeks,B6,WT
180,Alistipes sp. Marseille-P5997,X8_BWM_8747_2,0.022435897,Species,8 Weeks,B6,WT
181,Alistipes sp. Marseille-P5997,X8_BWM_8847_1,0.003205128,Species,8 Weeks,B6,WT
182,Alistipes sp. Marseille-P5997,X8_BWM_8847_2,0.006410256,Species,8 Weeks,B6,WT
183,Cytophaga unclassified,X20_AKF_8733_2,0,Species,20 Weeks,AJ,KO
184,Cytophaga unclassified,X20_AKF_8738_1,0,Species,20 Weeks,AJ,KO
185,Cytophaga unclassified,X20_AKF_8738_2,0,Species,20 Weeks,AJ,KO
186,Cytophaga unclassified,X20_AKF_8802_1,0,Species,20 Weeks,AJ,KO
187,Cytophaga unclassified,X20_AKF_8802_2,0,Species,20 Weeks,AJ,KO
188,Cytophaga unclassified,X20_AKM_8768_1,0,Species,20 Weeks,AJ,KO
189,Cytophaga unclassified,X20_AKM_8768_2,0,Species,20 Weeks,AJ,KO
190,Cytophaga unclassified,X20_AKM_8769_1,0,Species,20 Weeks,AJ,KO
191,Cytophaga unclassified,X20_AKM_8769_2,0,Species,20 Weeks,AJ,KO
192,Cytophaga unclassified,X20_AKM_8771_1,0,Species,20 Weeks,AJ,KO
193,Cytophaga unclassified,X20_AKM_8771_2,0,Species,20 Weeks,AJ,KO
194,Cytophaga unclassified,X20_AWF_8736_1,0,Species,20 Weeks,AJ,WT
195,Cytophaga unclassified,X20_AWF_8736_2,0,Species,20 Weeks,AJ,WT
196,Cytophaga unclassified,X20_AWF_8797_1,0,Species,20 Weeks,AJ,WT
197,Cytophaga unclassified,X20_AWF_8797_2,0,Species,20 Weeks,AJ,WT
198,Cytophaga unclassified,X20_AWF_9005_1,0,Species,20 Weeks,AJ,WT
199,Cytophaga unclassified,X20_AWF_9005_2,0,Species,20 Weeks,AJ,WT
200,Cytophaga unclassified,X20_AWM_8728_1,0,Species,20 Weeks,AJ,WT
201,Cytophaga unclassified,X20_AWM_8728_2,0,Species,20 Weeks,AJ,WT
202,Cytophaga unclassified,X20_AWM_8730_1,0,Species,20 Weeks,AJ,WT
203,Cytophaga unclassified,X20_AWM_8730_2,0,Species,20 Weeks,AJ,WT
204,Cytophaga unclassified,X20_AWM_8766_1,0,Species,20 Weeks,AJ,WT
205,Cytophaga unclassified,X20_AWM_8766_2,0,Species,20 Weeks,AJ,WT
206,Cytophaga unclassified,X20_BKF_8726_1,0,Species,20 Weeks,B6,KO
207,Cytophaga unclassified,X20_BKF_8726_2,0,Species,20 Weeks,B6,KO
208,Cytophaga unclassified,X20_BKF_8926_1,0,Species,20 Weeks,B6,KO
209,Cytophaga unclassified,X20_BKF_8926_2,0,Species,20 Weeks,B6,KO
210,Cytophaga unclassified,X20_BKF_8927_1,0,Species,20 Weeks,B6,KO
211,Cytophaga unclassified,X20_BKF_8927_2,0,Species,20 Weeks,B6,KO
212,Cytophaga unclassified,X20_BKM_8719_1,0,Species,20 Weeks,B6,KO
213,Cytophaga unclassified,X20_BKM_8719_2,0,Species,20 Weeks,B6,KO
214,Cytophaga unclassified,X20_BKM_8859_1,0,Species,20 Weeks,B6,KO
215,Cytophaga unclassified,X20_BKM_8859_2,0,Species,20 Weeks,B6,KO
216,Cytophaga unclassified,X20_BKM_8860_1,0,Species,20 Weeks,B6,KO
217,Cytophaga unclassified,X20_BKM_8860_2,0,Species,20 Weeks,B6,KO
218,Cytophaga unclassified,X20_BWF_8754_1,0,Species,20 Weeks,B6,WT
219,Cytophaga unclassified,X20_BWF_8754_2,0,Species,20 Weeks,B6,WT
220,Cytophaga unclassified,X20_BWF_8755_1,0,Species,20 Weeks,B6,WT
221,Cytophaga unclassified,X20_BWF_8755_2,0,Species,20 Weeks,B6,WT
222,Cytophaga unclassified,X20_BWF_8852_1,0,Species,20 Weeks,B6,WT
223,Cytophaga unclassified,X20_BWF_8852_2,1,Species,20 Weeks,B6,WT
224,Cytophaga unclassified,X20_BWM_8745_1,0,Species,20 Weeks,B6,WT
225,Cytophaga unclassified,X20_BWM_8745_2,0,Species,20 Weeks,B6,WT
226,Cytophaga unclassified,X20_BWM_8747_1,0,Species,20 Weeks,B6,WT
227,Cytophaga unclassified,X20_BWM_8747_2,0,Species,20 Weeks,B6,WT
228,Cytophaga unclassified,X20_BWM_8847_1,0,Species,20 Weeks,B6,WT
229,Cytophaga unclassified,X20_BWM_8847_2,0,Species,20 Weeks,B6,WT
230,Cytophaga unclassified,X8_AKF_8733_1,0,Species,8 Weeks,AJ,KO
231,Cytophaga unclassified,X8_AKF_8733_2,0,Species,8 Weeks,AJ,KO
232,Cytophaga unclassified,X8_AKF_8738_1,0,Species,8 Weeks,AJ,KO
233,Cytophaga unclassified,X8_AKF_8738_2,0,Species,8 Weeks,AJ,KO
234,Cytophaga unclassified,X8_AKF_8802_1,0,Species,8 Weeks,AJ,KO
235,Cytophaga unclassified,X8_AKM_8768_1,0,Species,8 Weeks,AJ,KO
236,Cytophaga unclassified,X8_AKM_8768_2,0,Species,8 Weeks,AJ,KO
237,Cytophaga unclassified,X8_AKM_8769_1,0,Species,8 Weeks,AJ,KO
238,Cytophaga unclassified,X8_AKM_8769_2,0,Species,8 Weeks,AJ,KO
239,Cytophaga unclassified,X8_AKM_8771_1,0,Species,8 Weeks,AJ,KO
240,Cytophaga unclassified,X8_AKM_8771_2,0,Species,8 Weeks,AJ,KO
241,Cytophaga unclassified,X8_AWF_8736_1,0,Species,8 Weeks,AJ,WT
242,Cytophaga unclassified,X8_AWF_8736_2,0,Species,8 Weeks,AJ,WT
243,Cytophaga unclassified,X8_AWF_8797_1,0,Species,8 Weeks,AJ,WT
244,Cytophaga unclassified,X8_AWF_9005_1,0,Species,8 Weeks,AJ,WT
245,Cytophaga unclassified,X8_AWF_9005_2,0,Species,8 Weeks,AJ,WT
246,Cytophaga unclassified,X8_AWM_8728_1,0,Species,8 Weeks,AJ,WT
247,Cytophaga unclassified,X8_AWM_8728_2,0,Species,8 Weeks,AJ,WT
248,Cytophaga unclassified,X8_AWM_8730_1,0,Species,8 Weeks,AJ,WT
249,Cytophaga unclassified,X8_AWM_8730_2,0,Species,8 Weeks,AJ,WT
250,Cytophaga unclassified,X8_AWM_8766_1,0,Species,8 Weeks,AJ,WT
251,Cytophaga unclassified,X8_AWM_8766_2,0,Species,8 Weeks,AJ,WT
252,Cytophaga unclassified,X8_BKF_8726_1,0,Species,8 Weeks,B6,KO
253,Cytophaga unclassified,X8_BKF_8726_2,0,Species,8 Weeks,B6,KO
254,Cytophaga unclassified,X8_BKF_8926_1,0,Species,8 Weeks,B6,KO
255,Cytophaga unclassified,X8_BKF_8926_2,0,Species,8 Weeks,B6,KO
256,Cytophaga unclassified,X8_BKF_8927_1,0,Species,8 Weeks,B6,KO
257,Cytophaga unclassified,X8_BKM_8719_1,0,Species,8 Weeks,B6,KO
258,Cytophaga unclassified,X8_BKM_8719_2,0,Species,8 Weeks,B6,KO
259,Cytophaga unclassified,X8_BKM_8859_1,0,Species,8 Weeks,B6,KO
260,Cytophaga unclassified,X8_BKM_8859_2,0,Species,8 Weeks,B6,KO
261,Cytophaga unclassified,X8_BKM_8860_1,0,Species,8 Weeks,B6,KO
262,Cytophaga unclassified,X8_BKM_8860_2,0,Species,8 Weeks,B6,KO
263,Cytophaga unclassified,X8_BWF_8754_1,0,Species,8 Weeks,B6,WT
264,Cytophaga unclassified,X8_BWF_8754_2,0,Species,8 Weeks,B6,WT
265,Cytophaga unclassified,X8_BWF_8755_1,0,Species,8 Weeks,B6,WT
266,Cytophaga unclassified,X8_BWF_8852_1,0,Species,8 Weeks,B6,WT
267,Cytophaga unclassified,X8_BWF_8852_2,0,Species,8 Weeks,B6,WT
268,Cytophaga unclassified,X8_BWM_8745_1,0,Species,8 Weeks,B6,WT
269,Cytophaga unclassified,X8_BWM_8745_2,0,Species,8 Weeks,B6,WT
270,Cytophaga unclassified,X8_BWM_8747_1,0,Species,8 Weeks,B6,WT
271,Cytophaga unclassified,X8_BWM_8747_2,0,Species,8 Weeks,B6,WT
272,Cytophaga unclassified,X8_BWM_8847_1,0,Species,8 Weeks,B6,WT
273,Cytophaga unclassified,X8_BWM_8847_2,0,Species,8 Weeks,B6,WT
274,Clostridium sp. MF28,X20_AKF_8733_2,0,Species,20 Weeks,AJ,KO
275,Clostridium sp. MF28,X20_AKF_8738_1,0,Species,20 Weeks,AJ,KO
276,Clostridium sp. MF28,X20_AKF_8738_2,0,Species,20 Weeks,AJ,KO
277,Clostridium sp. MF28,X20_AKF_8802_1,0,Species,20 Weeks,AJ,KO
278,Clostridium sp. MF28,X20_AKF_8802_2,0,Species,20 Weeks,AJ,KO
279,Clostridium sp. MF28,X20_AKM_8768_1,0,Species,20 Weeks,AJ,KO
280,Clostridium sp. MF28,X20_AKM_8768_2,0,Species,20 Weeks,AJ,KO
281,Clostridium sp. MF28,X20_AKM_8769_1,0,Species,20 Weeks,AJ,KO
282,Clostridium sp. MF28,X20_AKM_8769_2,0,Species,20 Weeks,AJ,KO
283,Clostridium sp. MF28,X20_AKM_8771_1,0,Species,20 Weeks,AJ,KO
284,Clostridium sp. MF28,X20_AKM_8771_2,0,Species,20 Weeks,AJ,KO
285,Clostridium sp. MF28,X20_AWF_8736_1,0,Species,20 Weeks,AJ,WT
286,Clostridium sp. MF28,X20_AWF_8736_2,0,Species,20 Weeks,AJ,WT
287,Clostridium sp. MF28,X20_AWF_8797_1,0,Species,20 Weeks,AJ,WT
288,Clostridium sp. MF28,X20_AWF_8797_2,0,Species,20 Weeks,AJ,WT
289,Clostridium sp. MF28,X20_AWF_9005_1,0,Species,20 Weeks,AJ,WT
290,Clostridium sp. MF28,X20_AWF_9005_2,0,Species,20 Weeks,AJ,WT
291,Clostridium sp. MF28,X20_AWM_8728_1,0,Species,20 Weeks,AJ,WT
292,Clostridium sp. MF28,X20_AWM_8728_2,0,Species,20 Weeks,AJ,WT
293,Clostridium sp. MF28,X20_AWM_8730_1,0,Species,20 Weeks,AJ,WT
294,Clostridium sp. MF28,X20_AWM_8730_2,0,Species,20 Weeks,AJ,WT
