"","Species","mean"
"170","Dehalobacterium_unclassified",0.00135230093024848
"171","Mucispirillum_schaedleri",0.00135131973194609
"172","Formosa_unclassified",0.00135066288534598
"173","Bordetella_unclassified",0.00134906294091757
"174","Flavonifractor_plautii",0.00134881038810411
"175","Phyllobacterium_unclassified",0.00134853977356462
"176","Solirubrobacter_unclassified",0.0013464031406457
"177","Faecalicoccus_unclassified",0.00134553707272259
"178","Bacteroides_paurosaccharolyticus",0.00134550363240633
"179","Robinsoniella_unclassified",0.00134549397208024
"180","Gloeobacter_unclassified",0.00134518233233374
"181","Lampropedia_unclassified",0.00134314453546188
"182","Muribaculum_sp._H5",0.00134274553812894
"183","Cupriavidus_unclassified",0.0013419690057145
"184","Rikenella_microfusus",0.00134146117240475
"185","Proteobacteria_unclassified",0.00134010552119575
"186","Culturomica_unclassified",0.00133463700985679
"187","Anoxybacter_unclassified",0.00133434533657279
"188","Syntrophobotulus_unclassified",0.00133434533657279
"189","Spiroplasma_unclassified",0.00133408286940199
"190","Odoribacter_unclassified",0.0013311569433585
"191","Chitinophaga_unclassified",0.00132757515610277
"192","Slackia_piriformis",0.00132530054724937
"193","Afifella_unclassified",0.00132520520030536
"194","Halarsenatibacter_unclassified",0.00132520520030536
"195","Helcococcus_unclassified",0.00132416872704322
"196","Peptoanaerobacter_unclassified",0.00132392303896256
"197","Barnesiella_unclassified",0.00132390393353958
"198","Mailhella_unclassified",0.00132350798518119
"199","Dyadobacter_unclassified",0.0013190975317542
"200","Clostridiales_bacterium_CCNA10",0.00131511249012066
"201","Lactobacillaceae_unclassified",0.00131262896376202
"202","Eggerthellaceae_unclassified",0.00131152081420801
"203","Adlercreutzia_unclassified",0.00131075991811758
"204","Acidovorax_unclassified",0.00130847125973891
"205","Provencibacterium_unclassified",0.00130763657925539
"206","Lawsonia_unclassified",0.00130700539935818
"207","Erysipelotrichaceae_unclassified",0.00130599307880514
"208","Rufibacter_unclassified",0.00130550708789377
"209","Bifidobacterium_pseudolongum",0.00130373764605033
"210","Enterobacterales_unclassified",0.00130184297902441
"211","Butyricimonas_unclassified",0.0013017281770026
"212","Lactobacillus_reuteri",0.00130099962840433
"213","Planktothrix_tepida",0.00130008962248414
"214","Lautropia_unclassified",0.00129744997632712
"215","Lachnoclostridium_unclassified",0.00129731069910435
"216","Solibacillus_unclassified",0.00129515823269539
"217","Merdibacter_unclassified",0.0012949467068174
"218","Achromobacter_unclassified",0.00129427805541572
"219","Cryobacterium_unclassified",0.00129219616822832
"220","Gordonibacter_pamelaeae",0.00129219616822832
"221","Petrimonas_mucosa",0.00129219616822832
