,taxon,Sample_ID,count,Level,Age,Strain,Genotype
354,Turicibacter_unclassified,X8_BWF_8754_1,45,Species,8 Weeks,B6,WT
355,Turicibacter_unclassified,X8_BWF_8754_2,82,Species,8 Weeks,B6,WT
356,Turicibacter_unclassified,X8_BWF_8755_1,87,Species,8 Weeks,B6,WT
357,Turicibacter_unclassified,X8_BWF_8852_1,9,Species,8 Weeks,B6,WT
358,Turicibacter_unclassified,X8_BWF_8852_2,17,Species,8 Weeks,B6,WT
359,Turicibacter_unclassified,X8_BWM_8745_1,33,Species,8 Weeks,B6,WT
360,Turicibacter_unclassified,X8_BWM_8745_2,37,Species,8 Weeks,B6,WT
361,Turicibacter_unclassified,X8_BWM_8747_1,10,Species,8 Weeks,B6,WT
362,Turicibacter_unclassified,X8_BWM_8747_2,9,Species,8 Weeks,B6,WT
363,Turicibacter_unclassified,X8_BWM_8847_1,1,Species,8 Weeks,B6,WT
364,Turicibacter_unclassified,X8_BWM_8847_2,0,Species,8 Weeks,B6,WT
