taxon,20_AKF_8733_2,20_AKF_8738_1,20_AKF_8738_2,20_AKF_8802_1,20_AKF_8802_2,20_AKM_8768_1,20_AKM_8768_2,20_AKM_8769_1,20_AKM_8769_2,20_AKM_8771_1,20_AKM_8771_2,20_AWF_8736_1,20_AWF_8736_2,20_AWF_8797_1,20_AWF_8797_2,20_AWF_9005_1,20_AWF_9005_2,20_AWM_8728_1,20_AWM_8728_2,20_AWM_8730_1,20_AWM_8730_2,20_AWM_8766_1,20_AWM_8766_2,20_BKF_8726_1,20_BKF_8726_2,20_BKF_8926_1,20_BKF_8926_2,20_BKF_8927_1,20_BKF_8927_2,20_BKM_8719_1,20_BKM_8719_2,20_BKM_8859_1,20_BKM_8859_2,20_BKM_8860_1,20_BKM_8860_2,20_BWF_8754_1,20_BWF_8754_2,20_BWF_8755_1,20_BWF_8755_2,20_BWF_8852_1,20_BWF_8852_2,20_BWM_8745_1,20_BWM_8745_2,20_BWM_8747_1,20_BWM_8747_2,20_BWM_8847_1,20_BWM_8847_2,8_AKF_8733_1,8_AKF_8733_2,8_AKF_8738_1,8_AKF_8738_2,8_AKF_8802_1,8_AKM_8768_1,8_AKM_8768_2,8_AKM_8769_1,8_AKM_8769_2,8_AKM_8771_1,8_AKM_8771_2,8_AWF_8736_1,8_AWF_8736_2,8_AWF_8797_1,8_AWF_9005_1,8_AWF_9005_2,8_AWM_8728_1,8_AWM_8728_2,8_AWM_8730_1,8_AWM_8730_2,8_AWM_8766_1,8_AWM_8766_2,8_BKF_8726_1,8_BKF_8726_2,8_BKF_8926_1,8_BKF_8926_2,8_BKF_8927_1,8_BKM_8719_1,8_BKM_8719_2,8_BKM_8859_1,8_BKM_8859_2,8_BKM_8860_1,8_BKM_8860_2,8_BWF_8754_1,8_BWF_8754_2,8_BWF_8755_1,8_BWF_8852_1,8_BWF_8852_2,8_BWM_8745_1,8_BWM_8745_2,8_BWM_8747_1,8_BWM_8747_2,8_BWM_8847_1,8_BWM_8847_2
Patulibacteraceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Solirubrobacteraceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Bacteria_unclassified,0,1,0,1,0,0,0,0,3,0,0,1,1,0,1,1,2,0,2,1,4,2,0,4,3,1,4,2,5,1,1,5,10,2,1,0,1,2,0,0,1,1,0,2,2,0,1,2,3,4,2,2,2,3,1,0,5,2,3,0,1,7,0,1,1,1,1,1,3,4,3,7,5,1,3,1,3,0,2,0,1,2,1,0,1,9,4,1,3,1,0
Bacteroidetes_unclassified,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Bacteroidaceae,1066,719,551,881,651,814,745,1169,1756,1318,1484,405,449,449,281,449,573,325,473,359,387,249,256,138,81,161,256,197,173,132,162,238,303,252,124,53,138,120,156,81,65,134,196,182,186,128,127,158,151,327,480,748,1421,1809,466,277,671,415,98,143,369,259,188,220,240,446,440,184,203,261,306,160,213,103,284,353,178,5,120,227,75,59,240,71,97,93,73,230,383,675,707
Bacteroidales_unclassified,0,3,0,1,0,0,3,0,1,4,3,3,5,1,1,2,2,3,2,1,0,1,2,1,0,0,1,1,2,1,2,0,5,0,0,0,3,3,5,2,0,0,0,1,0,3,1,3,0,3,3,4,7,0,2,1,2,1,4,0,2,1,1,1,1,1,2,1,0,1,2,0,1,0,0,0,0,0,2,0,2,2,0,2,1,2,2,1,2,1,1
Barnesiellaceae,2,1,2,2,2,4,4,5,7,8,4,9,6,8,6,3,6,6,10,5,11,2,2,4,7,3,3,5,3,5,5,3,4,4,2,3,10,13,16,5,6,2,1,5,3,5,7,2,4,14,15,0,0,2,15,11,7,1,6,7,8,1,1,4,13,11,9,2,2,6,5,4,8,5,3,3,8,0,8,8,6,4,3,2,6,2,7,7,5,1,3
Dysgonamonadaceae,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Muribaculaceae,1322,924,822,784,643,773,1007,811,1370,972,935,1794,1874,1398,1265,978,1369,2335,1462,1827,1689,1264,1629,1331,1229,957,1205,1620,1713,1659,1319,1017,981,741,461,1147,1554,1803,3183,1779,1778,1874,1396,1971,1635,1645,1506,1518,1388,1799,1643,562,664,926,1841,1260,777,862,1643,2235,1351,1357,1263,1661,2362,1571,1315,1575,1417,1720,1323,1251,1511,1596,1703,1845,2456,11,1228,1194,1730,2086,1642,1783,2032,1742,1366,1503,1511,1470,1387
Odoribacteraceae,7,9,3,11,8,7,12,15,24,22,22,49,109,73,60,72,25,14,45,44,28,7,4,24,20,22,54,2,1,10,33,1,4,7,5,9,21,17,20,8,6,4,6,7,14,15,32,70,60,11,37,51,26,17,37,45,37,12,46,32,56,46,27,30,25,105,56,12,40,4,13,3,4,5,18,11,6,0,10,10,20,25,10,16,12,12,13,4,7,0,0
Paludibacteraceae,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Porphyromonadaceae,0,0,0,1,1,0,0,0,0,0,0,1,2,4,2,5,2,1,2,2,2,2,1,1,0,1,0,2,1,2,5,1,1,1,4,2,5,2,6,1,0,0,0,0,0,1,3,4,1,0,1,1,1,2,0,0,0,2,1,2,3,0,0,0,2,1,0,1,3,2,7,9,20,2,0,1,2,0,0,1,2,1,2,0,0,0,4,2,1,1,1
Prevotellaceae,653,290,445,51,65,2,7,3,5,0,4,460,539,808,533,257,453,603,883,477,469,1153,1014,741,613,676,767,773,642,898,943,729,999,999,778,352,521,613,1044,707,417,680,486,747,659,1004,1294,583,542,869,738,548,40,9,1373,1101,445,614,622,529,1315,1248,726,421,472,852,805,831,519,671,578,1372,1501,631,642,719,426,3,494,514,794,954,909,440,544,901,689,636,907,408,394
Rikenellaceae,39,72,76,75,76,43,35,215,391,52,34,211,538,524,541,556,340,246,358,274,203,181,142,168,129,188,224,26,28,98,116,37,58,26,22,110,233,183,266,54,68,42,66,87,73,107,194,515,482,87,160,593,533,482,158,119,531,186,273,148,360,342,330,217,128,107,65,160,342,36,26,45,79,63,33,53,35,1,21,52,388,410,70,38,36,90,64,62,98,32,21
Tannerellaceae,458,1424,1138,383,315,559,840,345,504,938,1120,70,81,176,148,49,82,179,218,120,131,169,220,85,69,113,133,78,70,26,44,122,181,315,218,86,141,85,143,56,71,164,254,218,227,57,65,22,42,141,243,215,132,161,223,197,203,181,57,69,161,45,37,259,322,357,354,124,156,320,344,124,208,141,116,144,115,2,134,270,115,131,193,119,162,147,110,84,157,343,282
Unknown_family,131,363,349,6,1,483,574,58,79,716,921,17,16,19,17,131,149,12,23,32,21,12,6,47,12,14,5,15,15,8,18,10,15,14,12,5,19,30,37,8,12,5,3,11,11,22,28,130,102,6,14,32,260,345,29,14,11,6,13,18,201,115,101,45,47,35,27,9,16,10,5,6,6,13,17,13,16,0,9,14,24,27,22,20,12,5,15,6,23,7,15
Bacteroidia_unclassified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marinilabiliaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prolixibacteraceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Chitinophagaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
Cyclobacteriaceae,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Cytophagaceae,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1,2,2,2,0,1,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,1,0,0,0,1,0,1,0,0,0,0,0,0
Flammeovirgaceae,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Hymenobacteraceae,34,66,60,3,2,63,52,18,30,70,80,23,21,19,23,34,41,31,21,16,22,11,10,22,14,12,9,9,10,15,11,2,5,4,4,6,16,14,47,9,8,7,6,17,18,31,14,35,22,23,28,18,45,34,26,19,10,5,18,17,37,50,20,31,35,30,21,9,24,5,7,3,13,15,18,22,8,0,8,10,9,10,14,15,13,8,7,6,8,11,5
Persicobacteraceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unknown_family,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blattabacteriaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,3,0,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,1,0,0,1,3,0,0,3,0,0,1,1,0,0,0
Crocinitomicaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Cryomorphaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flavobacteriaceae,1,6,2,0,0,1,2,0,2,1,0,1,2,3,1,1,0,1,5,2,2,0,1,4,4,2,3,4,0,1,1,1,1,6,5,1,1,3,2,0,2,1,0,2,0,1,4,0,0,6,2,4,1,0,2,1,1,1,2,1,5,0,2,2,0,2,3,2,3,3,3,2,1,3,4,1,4,0,4,4,7,0,3,3,2,1,2,0,1,0,0
Flavobacteriales_unclassified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
