,taxon,Sample_ID,count,Level,Strain,Genotype,Age
146,Bacteroidaceae,X8_AKM_8769_1,466,Family,AJ,KO,8 Weeks
147,Bacteroidaceae,X8_AKM_8769_2,277,Family,AJ,KO,8 Weeks
148,Bacteroidaceae,X8_AKM_8771_1,671,Family,AJ,KO,8 Weeks
149,Bacteroidaceae,X8_AKM_8771_2,415,Family,AJ,KO,8 Weeks
150,Bacteroidaceae,X8_AWF_8736_1,98,Family,AJ,WT,8 Weeks
151,Bacteroidaceae,X8_AWF_8736_2,143,Family,AJ,WT,8 Weeks
152,Bacteroidaceae,X8_AWF_8797_1,369,Family,AJ,WT,8 Weeks
153,Bacteroidaceae,X8_AWF_9005_1,259,Family,AJ,WT,8 Weeks
154,Bacteroidaceae,X8_AWF_9005_2,188,Family,AJ,WT,8 Weeks
155,Bacteroidaceae,X8_AWM_8728_1,220,Family,AJ,WT,8 Weeks
156,Bacteroidaceae,X8_AWM_8728_2,240,Family,AJ,WT,8 Weeks
157,Bacteroidaceae,X8_AWM_8730_1,446,Family,AJ,WT,8 Weeks
158,Bacteroidaceae,X8_AWM_8730_2,440,Family,AJ,WT,8 Weeks
159,Bacteroidaceae,X8_AWM_8766_1,184,Family,AJ,WT,8 Weeks
160,Bacteroidaceae,X8_AWM_8766_2,203,Family,AJ,WT,8 Weeks
161,Bacteroidaceae,X8_BKF_8726_1,261,Family,B6,KO,8 Weeks
162,Bacteroidaceae,X8_BKF_8726_2,306,Family,B6,KO,8 Weeks
163,Bacteroidaceae,X8_BKF_8926_1,160,Family,B6,KO,8 Weeks
164,Bacteroidaceae,X8_BKF_8926_2,213,Family,B6,KO,8 Weeks
165,Bacteroidaceae,X8_BKF_8927_1,103,Family,B6,KO,8 Weeks
166,Bacteroidaceae,X8_BKM_8719_1,284,Family,B6,KO,8 Weeks
167,Bacteroidaceae,X8_BKM_8719_2,353,Family,B6,KO,8 Weeks
168,Bacteroidaceae,X8_BKM_8859_1,178,Family,B6,KO,8 Weeks
169,Bacteroidaceae,X8_BKM_8859_2,5,Family,B6,KO,8 Weeks
170,Bacteroidaceae,X8_BKM_8860_1,120,Family,B6,KO,8 Weeks
171,Bacteroidaceae,X8_BKM_8860_2,227,Family,B6,KO,8 Weeks
172,Bacteroidaceae,X8_BWF_8754_1,75,Family,B6,WT,8 Weeks
173,Bacteroidaceae,X8_BWF_8754_2,59,Family,B6,WT,8 Weeks
174,Bacteroidaceae,X8_BWF_8755_1,240,Family,B6,WT,8 Weeks
175,Bacteroidaceae,X8_BWF_8852_1,71,Family,B6,WT,8 Weeks
176,Bacteroidaceae,X8_BWF_8852_2,97,Family,B6,WT,8 Weeks
177,Bacteroidaceae,X8_BWM_8745_1,93,Family,B6,WT,8 Weeks
178,Bacteroidaceae,X8_BWM_8745_2,73,Family,B6,WT,8 Weeks
179,Bacteroidaceae,X8_BWM_8747_1,230,Family,B6,WT,8 Weeks
180,Bacteroidaceae,X8_BWM_8747_2,383,Family,B6,WT,8 Weeks
181,Bacteroidaceae,X8_BWM_8847_1,675,Family,B6,WT,8 Weeks
182,Bacteroidaceae,X8_BWM_8847_2,707,Family,B6,WT,8 Weeks
183,Deferribacteraceae,X20_AKF_8733_2,11,Family,AJ,KO,20 Weeks
184,Deferribacteraceae,X20_AKF_8738_1,5,Family,AJ,KO,20 Weeks
185,Deferribacteraceae,X20_AKF_8738_2,0,Family,AJ,KO,20 Weeks
186,Deferribacteraceae,X20_AKF_8802_1,34,Family,AJ,KO,20 Weeks
187,Deferribacteraceae,X20_AKF_8802_2,60,Family,AJ,KO,20 Weeks
188,Deferribacteraceae,X20_AKM_8768_1,1,Family,AJ,KO,20 Weeks
189,Deferribacteraceae,X20_AKM_8768_2,1,Family,AJ,KO,20 Weeks
190,Deferribacteraceae,X20_AKM_8769_1,0,Family,AJ,KO,20 Weeks
191,Deferribacteraceae,X20_AKM_8769_2,0,Family,AJ,KO,20 Weeks
192,Deferribacteraceae,X20_AKM_8771_1,0,Family,AJ,KO,20 Weeks
193,Deferribacteraceae,X20_AKM_8771_2,0,Family,AJ,KO,20 Weeks
194,Deferribacteraceae,X20_AWF_8736_1,10,Family,AJ,WT,20 Weeks
195,Deferribacteraceae,X20_AWF_8736_2,0,Family,AJ,WT,20 Weeks
196,Deferribacteraceae,X20_AWF_8797_1,28,Family,AJ,WT,20 Weeks
197,Deferribacteraceae,X20_AWF_8797_2,143,Family,AJ,WT,20 Weeks
198,Deferribacteraceae,X20_AWF_9005_1,59,Family,AJ,WT,20 Weeks
199,Deferribacteraceae,X20_AWF_9005_2,9,Family,AJ,WT,20 Weeks
200,Deferribacteraceae,X20_AWM_8728_1,2,Family,AJ,WT,20 Weeks
201,Deferribacteraceae,X20_AWM_8728_2,1,Family,AJ,WT,20 Weeks
202,Deferribacteraceae,X20_AWM_8730_1,0,Family,AJ,WT,20 Weeks
203,Deferribacteraceae,X20_AWM_8730_2,1,Family,AJ,WT,20 Weeks
204,Deferribacteraceae,X20_AWM_8766_1,0,Family,AJ,WT,20 Weeks
205,Deferribacteraceae,X20_AWM_8766_2,1,Family,AJ,WT,20 Weeks
206,Deferribacteraceae,X20_BKF_8726_1,41,Family,B6,KO,20 Weeks
207,Deferribacteraceae,X20_BKF_8726_2,5,Family,B6,KO,20 Weeks
208,Deferribacteraceae,X20_BKF_8926_1,12,Family,B6,KO,20 Weeks
209,Deferribacteraceae,X20_BKF_8926_2,53,Family,B6,KO,20 Weeks
210,Deferribacteraceae,X20_BKF_8927_1,4,Family,B6,KO,20 Weeks
211,Deferribacteraceae,X20_BKF_8927_2,5,Family,B6,KO,20 Weeks
212,Deferribacteraceae,X20_BKM_8719_1,9,Family,B6,KO,20 Weeks
213,Deferribacteraceae,X20_BKM_8719_2,41,Family,B6,KO,20 Weeks
214,Deferribacteraceae,X20_BKM_8859_1,4,Family,B6,KO,20 Weeks
215,Deferribacteraceae,X20_BKM_8859_2,7,Family,B6,KO,20 Weeks
216,Deferribacteraceae,X20_BKM_8860_1,2,Family,B6,KO,20 Weeks
217,Deferribacteraceae,X20_BKM_8860_2,9,Family,B6,KO,20 Weeks
218,Deferribacteraceae,X20_BWF_8754_1,10,Family,B6,WT,20 Weeks
219,Deferribacteraceae,X20_BWF_8754_2,44,Family,B6,WT,20 Weeks
220,Deferribacteraceae,X20_BWF_8755_1,1,Family,B6,WT,20 Weeks
221,Deferribacteraceae,X20_BWF_8755_2,2,Family,B6,WT,20 Weeks
222,Deferribacteraceae,X20_BWF_8852_1,2,Family,B6,WT,20 Weeks
223,Deferribacteraceae,X20_BWF_8852_2,32,Family,B6,WT,20 Weeks
224,Deferribacteraceae,X20_BWM_8745_1,1,Family,B6,WT,20 Weeks
225,Deferribacteraceae,X20_BWM_8745_2,3,Family,B6,WT,20 Weeks
226,Deferribacteraceae,X20_BWM_8747_1,5,Family,B6,WT,20 Weeks
227,Deferribacteraceae,X20_BWM_8747_2,1,Family,B6,WT,20 Weeks
228,Deferribacteraceae,X20_BWM_8847_1,1,Family,B6,WT,20 Weeks
229,Deferribacteraceae,X20_BWM_8847_2,33,Family,B6,WT,20 Weeks
230,Deferribacteraceae,X8_AKF_8733_1,29,Family,AJ,KO,8 Weeks
231,Deferribacteraceae,X8_AKF_8733_2,17,Family,AJ,KO,8 Weeks
232,Deferribacteraceae,X8_AKF_8738_1,3,Family,AJ,KO,8 Weeks
233,Deferribacteraceae,X8_AKF_8738_2,4,Family,AJ,KO,8 Weeks
234,Deferribacteraceae,X8_AKF_8802_1,82,Family,AJ,KO,8 Weeks
235,Deferribacteraceae,X8_AKM_8768_1,167,Family,AJ,KO,8 Weeks
236,Deferribacteraceae,X8_AKM_8768_2,308,Family,AJ,KO,8 Weeks
237,Deferribacteraceae,X8_AKM_8769_1,3,Family,AJ,KO,8 Weeks
238,Deferribacteraceae,X8_AKM_8769_2,9,Family,AJ,KO,8 Weeks
239,Deferribacteraceae,X8_AKM_8771_1,148,Family,AJ,KO,8 Weeks
240,Deferribacteraceae,X8_AKM_8771_2,81,Family,AJ,KO,8 Weeks
241,Deferribacteraceae,X8_AWF_8736_1,21,Family,AJ,WT,8 Weeks
242,Deferribacteraceae,X8_AWF_8736_2,7,Family,AJ,WT,8 Weeks
243,Deferribacteraceae,X8_AWF_8797_1,26,Family,AJ,WT,8 Weeks
244,Deferribacteraceae,X8_AWF_9005_1,5,Family,AJ,WT,8 Weeks
245,Deferribacteraceae,X8_AWF_9005_2,2,Family,AJ,WT,8 Weeks
246,Deferribacteraceae,X8_AWM_8728_1,0,Family,AJ,WT,8 Weeks
247,Deferribacteraceae,X8_AWM_8728_2,2,Family,AJ,WT,8 Weeks
248,Deferribacteraceae,X8_AWM_8730_1,141,Family,AJ,WT,8 Weeks
249,Deferribacteraceae,X8_AWM_8730_2,83,Family,AJ,WT,8 Weeks
250,Deferribacteraceae,X8_AWM_8766_1,5,Family,AJ,WT,8 Weeks
251,Deferribacteraceae,X8_AWM_8766_2,4,Family,AJ,WT,8 Weeks
252,Deferribacteraceae,X8_BKF_8726_1,15,Family,B6,KO,8 Weeks
253,Deferribacteraceae,X8_BKF_8726_2,23,Family,B6,KO,8 Weeks
254,Deferribacteraceae,X8_BKF_8926_1,3,Family,B6,KO,8 Weeks
255,Deferribacteraceae,X8_BKF_8926_2,10,Family,B6,KO,8 Weeks
256,Deferribacteraceae,X8_BKF_8927_1,123,Family,B6,KO,8 Weeks
257,Deferribacteraceae,X8_BKM_8719_1,16,Family,B6,KO,8 Weeks
258,Deferribacteraceae,X8_BKM_8719_2,20,Family,B6,KO,8 Weeks
259,Deferribacteraceae,X8_BKM_8859_1,57,Family,B6,KO,8 Weeks
260,Deferribacteraceae,X8_BKM_8859_2,1,Family,B6,KO,8 Weeks
261,Deferribacteraceae,X8_BKM_8860_1,26,Family,B6,KO,8 Weeks
262,Deferribacteraceae,X8_BKM_8860_2,6,Family,B6,KO,8 Weeks
263,Deferribacteraceae,X8_BWF_8754_1,6,Family,B6,WT,8 Weeks
264,Deferribacteraceae,X8_BWF_8754_2,18,Family,B6,WT,8 Weeks
265,Deferribacteraceae,X8_BWF_8755_1,15,Family,B6,WT,8 Weeks
266,Deferribacteraceae,X8_BWF_8852_1,11,Family,B6,WT,8 Weeks
267,Deferribacteraceae,X8_BWF_8852_2,1,Family,B6,WT,8 Weeks
268,Deferribacteraceae,X8_BWM_8745_1,211,Family,B6,WT,8 Weeks
269,Deferribacteraceae,X8_BWM_8745_2,231,Family,B6,WT,8 Weeks
270,Deferribacteraceae,X8_BWM_8747_1,2,Family,B6,WT,8 Weeks
271,Deferribacteraceae,X8_BWM_8747_2,6,Family,B6,WT,8 Weeks
272,Deferribacteraceae,X8_BWM_8847_1,877,Family,B6,WT,8 Weeks
273,Deferribacteraceae,X8_BWM_8847_2,554,Family,B6,WT,8 Weeks
274,Clostridiales_Family_XVII._Incertae_Sedis,X20_AKF_8733_2,0,Family,AJ,KO,20 Weeks
275,Clostridiales_Family_XVII._Incertae_Sedis,X20_AKF_8738_1,0,Family,AJ,KO,20 Weeks
276,Clostridiales_Family_XVII._Incertae_Sedis,X20_AKF_8738_2,0,Family,AJ,KO,20 Weeks
277,Clostridiales_Family_XVII._Incertae_Sedis,X20_AKF_8802_1,0,Family,AJ,KO,20 Weeks
278,Clostridiales_Family_XVII._Incertae_Sedis,X20_AKF_8802_2,0,Family,AJ,KO,20 Weeks
279,Clostridiales_Family_XVII._Incertae_Sedis,X20_AKM_8768_1,0,Family,AJ,KO,20 Weeks
280,Clostridiales_Family_XVII._Incertae_Sedis,X20_AKM_8768_2,0,Family,AJ,KO,20 Weeks
281,Clostridiales_Family_XVII._Incertae_Sedis,X20_AKM_8769_1,0,Family,AJ,KO,20 Weeks
282,Clostridiales_Family_XVII._Incertae_Sedis,X20_AKM_8769_2,0,Family,AJ,KO,20 Weeks
283,Clostridiales_Family_XVII._Incertae_Sedis,X20_AKM_8771_1,0,Family,AJ,KO,20 Weeks
284,Clostridiales_Family_XVII._Incertae_Sedis,X20_AKM_8771_2,0,Family,AJ,KO,20 Weeks
285,Clostridiales_Family_XVII._Incertae_Sedis,X20_AWF_8736_1,0,Family,AJ,WT,20 Weeks
286,Clostridiales_Family_XVII._Incertae_Sedis,X20_AWF_8736_2,0,Family,AJ,WT,20 Weeks
287,Clostridiales_Family_XVII._Incertae_Sedis,X20_AWF_8797_1,0,Family,AJ,WT,20 Weeks
288,Clostridiales_Family_XVII._Incertae_Sedis,X20_AWF_8797_2,0,Family,AJ,WT,20 Weeks
289,Clostridiales_Family_XVII._Incertae_Sedis,X20_AWF_9005_1,0,Family,AJ,WT,20 Weeks
290,Clostridiales_Family_XVII._Incertae_Sedis,X20_AWF_9005_2,0,Family,AJ,WT,20 Weeks
291,Clostridiales_Family_XVII._Incertae_Sedis,X20_AWM_8728_1,1,Family,AJ,WT,20 Weeks
292,Clostridiales_Family_XVII._Incertae_Sedis,X20_AWM_8728_2,0,Family,AJ,WT,20 Weeks
293,Clostridiales_Family_XVII._Incertae_Sedis,X20_AWM_8730_1,0,Family,AJ,WT,20 Weeks
294,Clostridiales_Family_XVII._Incertae_Sedis,X20_AWM_8730_2,0,Family,AJ,WT,20 Weeks
295,Clostridiales_Family_XVII._Incertae_Sedis,X20_AWM_8766_1,0,Family,AJ,WT,20 Weeks
296,Clostridiales_Family_XVII._Incertae_Sedis,X20_AWM_8766_2,1,Family,AJ,WT,20 Weeks
297,Clostridiales_Family_XVII._Incertae_Sedis,X20_BKF_8726_1,0,Family,B6,KO,20 Weeks
298,Clostridiales_Family_XVII._Incertae_Sedis,X20_BKF_8726_2,0,Family,B6,KO,20 Weeks
299,Clostridiales_Family_XVII._Incertae_Sedis,X20_BKF_8926_1,0,Family,B6,KO,20 Weeks
300,Clostridiales_Family_XVII._Incertae_Sedis,X20_BKF_8926_2,0,Family,B6,KO,20 Weeks
301,Clostridiales_Family_XVII._Incertae_Sedis,X20_BKF_8927_1,0,Family,B6,KO,20 Weeks
302,Clostridiales_Family_XVII._Incertae_Sedis,X20_BKF_8927_2,0,Family,B6,KO,20 Weeks
303,Clostridiales_Family_XVII._Incertae_Sedis,X20_BKM_8719_1,0,Family,B6,KO,20 Weeks
304,Clostridiales_Family_XVII._Incertae_Sedis,X20_BKM_8719_2,0,Family,B6,KO,20 Weeks
305,Clostridiales_Family_XVII._Incertae_Sedis,X20_BKM_8859_1,0,Family,B6,KO,20 Weeks
306,Clostridiales_Family_XVII._Incertae_Sedis,X20_BKM_8859_2,0,Family,B6,KO,20 Weeks
307,Clostridiales_Family_XVII._Incertae_Sedis,X20_BKM_8860_1,0,Family,B6,KO,20 Weeks
308,Clostridiales_Family_XVII._Incertae_Sedis,X20_BKM_8860_2,0,Family,B6,KO,20 Weeks
309,Clostridiales_Family_XVII._Incertae_Sedis,X20_BWF_8754_1,0,Family,B6,WT,20 Weeks
310,Clostridiales_Family_XVII._Incertae_Sedis,X20_BWF_8754_2,0,Family,B6,WT,20 Weeks
311,Clostridiales_Family_XVII._Incertae_Sedis,X20_BWF_8755_1,0,Family,B6,WT,20 Weeks
312,Clostridiales_Family_XVII._Incertae_Sedis,X20_BWF_8755_2,0,Family,B6,WT,20 Weeks
313,Clostridiales_Family_XVII._Incertae_Sedis,X20_BWF_8852_1,0,Family,B6,WT,20 Weeks
314,Clostridiales_Family_XVII._Incertae_Sedis,X20_BWF_8852_2,0,Family,B6,WT,20 Weeks
315,Clostridiales_Family_XVII._Incertae_Sedis,X20_BWM_8745_1,0,Family,B6,WT,20 Weeks
316,Clostridiales_Family_XVII._Incertae_Sedis,X20_BWM_8745_2,0,Family,B6,WT,20 Weeks
